namespace,batch,total_in_namespace,file
actions,1,5,/mnt/data/i18n_ns_actions.csv
analysisTypes,1,10,/mnt/data/i18n_ns_analysisTypes.csv
apiKeys,1,8,/mnt/data/i18n_ns_apiKeys.csv
clearHistoryOnDisable,1,3,/mnt/data/i18n_ns_clearHistoryOnDisable.csv
common,1,8,/mnt/data/i18n_ns_common.csv
dashboard,1,20,/mnt/data/i18n_ns_dashboard.csv
dashboardInsights,1,2,/mnt/data/i18n_ns_dashboardInsights.csv
evolution,1,15,/mnt/data/i18n_ns_evolution.csv
export,1,5,/mnt/data/i18n_ns_export.csv
feature,1,1,/mnt/data/i18n_ns_feature.csv
feedback,1,4,/mnt/data/i18n_ns_feedback.csv
header,1,2,/mnt/data/i18n_ns_header.csv
importExport,1,8,/mnt/data/i18n_ns_importExport.csv
input,1,1,/mnt/data/i18n_ns_input.csv
integrations,1,4,/mnt/data/i18n_ns_integrations.csv
kanban,1,7,/mnt/data/i18n_ns_kanban.csv
landing,1,1,/mnt/data/i18n_ns_landing.csv
loader,1,4,/mnt/data/i18n_ns_loader.csv
maturityLevels,1,4,/mnt/data/i18n_ns_maturityLevels.csv
navigation,1,5,/mnt/data/i18n_ns_navigation.csv
network,1,2,/mnt/data/i18n_ns_network.csv
noFiles,1,2,/mnt/data/i18n_ns_noFiles.csv
notifications,1,7,/mnt/data/i18n_ns_notifications.csv
profile,1,6,/mnt/data/i18n_ns_profile.csv
results,1,22,/mnt/data/i18n_ns_results.csv
saveHistory,1,2,/mnt/data/i18n_ns_saveHistory.csv
